horizon,symbol,entry_time,exit_time,entry_price,target,initial_sl,exit_price,qty,outcome,pnl,r_multiple,p_entry,kelly_f,atr,features_json,pnl_net,r_net
short_term,HDFCBANK,2024-07-03T09:45:00+05:30,2024-07-04T09:15:00+05:30,888.4,906.8622100631962,879.1688949684019,879.1688949684019,1354.0,LOSS,-12498.916212783795,-1.0,0.762688186623587,0.05,6.154070021065419,"{""structure"": 0.9998348361513573, ""value"": 0.9952962913820061, ""vol_anom"": 0.9702302851532342, ""mom_t"": 0.6135405570896859, ""vratio"": -0.40027367684973153, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.4295382177143202, ""accel"": -0.20687483891365457, ""align"": 0.49689442773514053, ""mom_l"": 0.6977179472683102, ""mom_v"": 0.6135405570896859}",-14904.703412783794,-1.1924796645599862
swing,HDFCBANK,2024-07-04T09:15:00+05:30,2024-07-05T09:15:00+05:30,884.3,950.9961997294912,850.9519001352544,842.5,299.0,LOSS,-12498.199999999986,-1.2534447290710389,0.9153791257655554,0.05,16.674049932372803,"{""structure"": 0.9998804295245092, ""value"": 0.9932735007097429, ""vol_anom"": 0.891484597880689, ""mom_t"": 0.901751971330833, ""vratio"": -0.12445269774374079, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.34501425984171247, ""accel"": 0.7155071171939372, ""align"": 0.6778698917682836, ""mom_l"": 0.6322358479862684, ""mom_v"": 0.901751971330833}",-13027.011399999987,-1.306479235000107
short_term,TCS,2024-07-12T12:15:00+05:30,2024-07-15T09:15:00+05:30,4147.05,4239.503557264773,4100.823221367614,4239.503557264773,270.0,PROFIT,24962.460461488663,2.0,0.7174622301696155,0.05,30.817852421590977,"{""structure"": 0.9991298246229859, ""value"": 0.9371491214918529, ""vol_anom"": 0.6439734982281631, ""mom_t"": 0.688135813672632, ""vratio"": 0.14858408139373327, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.21442751728188278, ""accel"": 0.41629201511957714, ""align"": 0.2474690977106813, ""mom_l"": 0.4081575071056639, ""mom_v"": 0.5689130512289227}",22723.053461488664,1.8205780232717934
swing,ICICIBANK,2024-07-04T09:15:00+05:30,2024-08-05T09:15:00+05:30,1201.6,1315.847919648695,1144.4760401756523,1182.0,175.0,TIME_EXIT,-3429.999999999984,-0.34311346867879283,0.7672402194491048,0.05,28.561979912173776,"{""structure"": 0.9987885154159334, ""value"": 0.7093095569939623, ""vol_anom"": 0.04113739923552823, ""mom_t"": 0.7567171949406636, ""vratio"": -0.25927335939963037, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.46737948542128943, ""accel"": 0.5550853198216136, ""align"": 0.708437645976506, ""mom_l"": 0.48285902195153674, ""mom_v"": 0.04066438246918129}",-3850.559999999984,-0.38518338132822544
swing,TCS,2024-07-19T09:15:00+05:30,2024-08-05T11:03:00+05:30,4315.55,4661.848167558671,4142.400916220665,4142.400916220665,57.0,LOSS,-9869.497775422115,-1.0,0.7491724162496753,0.05,86.57454188966769,"{""structure"": 0.986812826929305, ""value"": 0.5898597043877697, ""vol_anom"": 0.3910194627772735, ""mom_t"": 0.655952618226695, ""vratio"": -0.07995494699819336, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.18363380712581903, ""accel"": 0.5582944549807455, ""align"": 0.11321438861404544, ""mom_l"": 0.2428718151895879, ""mom_v"": 0.31355804561014416}",-10361.470475422115,-1.0498477948113178
swing,ICICIBANK,2024-09-04T09:15:00+05:30,2024-09-06T14:51:00+05:30,1247.7,1330.554571343812,1206.272714328094,1206.272714328094,241.0,LOSS,-9983.97584692935,-1.0,0.7108271046723275,0.05,20.713642835953014,"{""structure"": 0.9994158484453401, ""value"": 0.9494719789330714, ""vol_anom"": 0.6978789038248314, ""mom_t"": 0.6853420815750909, ""vratio"": -0.24856112860577728, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.48510317170239897, ""accel"": 0.6114006646343234, ""align"": 0.4663158665620773, ""mom_l"": 0.44233651534621427, ""mom_v"": 0.6195586440275923}",-10585.36724692935,-1.0602356625476976
short_term,ICICIBANK,2024-09-20T15:15:00+05:30,2024-09-20T15:16:00+05:30,1342.35,1369.3545842691867,1328.8477078654064,1326.65,925.0,LOSS,-14522.499999999833,-1.1627655396209113,0.7703729384923134,0.05,9.001528089728964,"{""structure"": 0.9999887727506622, ""value"": 0.9936220262671795, ""vol_anom"": 0.971066775558003, ""mom_t"": 0.5297044652373525, ""vratio"": -0.40805204117962735, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.45149593603370713, ""accel"": -0.048254382763026474, ""align"": 0.7286959471194396, ""mom_l"": 0.7761491414019847, ""mom_v"": 0.5297044652373525}",-17005.847499999833,-1.3615984468960896
short_term,ICICIBANK,2024-09-23T09:15:00+05:30,2024-09-23T09:16:00+05:30,1349.9,1379.6256834177714,1335.0371582911146,1331.0,841.0,LOSS,-15894.900000000076,-1.2716276180685562,0.7559153936400616,0.05,9.908561139257072,"{""structure"": 0.9999761883133933, ""value"": 0.9701587977064525, ""vol_anom"": 0.8729523903816174, ""mom_t"": 0.6011839373021087, ""vratio"": -0.34464535715996764, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.4577392986778354, ""accel"": 0.22877282866508614, ""align"": 0.7573088922895588, ""mom_l"": 0.8136515562598294, ""mom_v"": 0.6011839373021087}",-18165.431800000075,-1.4532752499871524
swing,ICICIBANK,2024-09-23T09:15:00+05:30,2024-09-30T09:15:00+05:30,1338.45,1436.0492827766461,1289.6503586116771,1289.6503586116771,204.0,LOSS,-9955.126843217877,-1.0,0.7207400778330543,0.05,24.39982069416149,"{""structure"": 0.9999486585694479, ""value"": 0.9969121162217986, ""vol_anom"": 0.9685080903885576, ""mom_t"": 0.7573088922895588, ""vratio"": -0.2485414747814119, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.4788662267859073, ""accel"": 0.39658955087733644, ""align"": 0.5973600860402621, ""mom_l"": 0.4681596614567743, ""mom_v"": 0.7573088922895588}",-10501.214443217877,-1.0548549113035193
positional,ICICIBANK,2024-06-03T09:15:00+05:30,2024-09-30T14:23:00+05:30,1121.05,1391.1282140228782,986.0108929885608,1272.3239286590406,55.0,TRAILED,8320.066076247234,1.1202231117110857,0.7022573332548038,0.05,45.01303567047971,"{""structure"": 0.9553010712904718, ""value"": 0.7931517611373611, ""vol_anom"": 0.12856310421105993, ""mom_t"": 0.582690160528663, ""vratio"": -0.16431217218249797, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.3526199319024245, ""accel"": 0.1554903788396017, ""align"": 0.4821010349398303, ""mom_l"": 0.7590783412311125, ""mom_v"": 0.08595489510289916}",8196.750576247234,1.1036197732440292
positional,SBIN,2024-06-03T09:15:00+05:30,2024-10-01T09:15:00+05:30,830.35,1041.3509630767,724.84951846165,788.0,71.0,TIME_EXIT,-3006.8500000000017,-0.4014199687288208,0.7671391024771396,0.05,35.16682717945001,"{""structure"": 0.998551625270626, ""value"": 0.9871459343180465, ""vol_anom"": -0.15207397667325864, ""mom_t"": 0.6586001033796162, ""vratio"": -0.01974537675666327, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.16756241446044154, ""accel"": 0.03736618285459907, ""align"": 0.7210723885248094, ""mom_l"": 0.7057199363609552, ""mom_v"": 0.0}",-3124.759700000002,-0.4171611291082294
