horizon,symbol,entry_time,exit_time,entry_price,target,initial_sl,exit_price,qty,outcome,pnl,r_multiple,p_entry,kelly_f,atr,features_json,pnl_net,r_net
swing,ICICIBANK,2024-06-03T09:15:00+05:30,2024-06-03T09:33:00+05:30,1121.05,1202.9122007169658,1080.1188996415171,1142.3016747311378,244.0,TRAILED,5185.408634397643,0.5192060449147822,0.7251006075230254,0.05,20.465550179241443,"{""structure"": 0.9958176517546923, ""value"": 0.8601159295943366, ""vol_anom"": 0.836886765910456, ""mom_t"": -0.21542492902920232, ""vratio"": -0.1500099473356495, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.34449769062076163, ""accel"": -0.3408229575620787, ""align"": 0.582690160528663, ""mom_l"": 0.4878898079042903, ""mom_v"": -0.21542492902920232}",4638.336234397643,0.464428626756872
short_term,SBIN,2024-06-03T09:45:00+05:30,2024-06-03T10:16:00+05:30,867.65,889.8979770571128,856.5260114714436,889.8979770571128,1123.0,PROFIT,24984.47823513773,2.0,0.9130652377824959,0.05,7.4159923523709645,"{""structure"": 0.9831623818415755, ""value"": 0.9672625308686769, ""vol_anom"": 0.9661894036212391, ""mom_t"": 0.4861783491372664, ""vratio"": -0.5101328926735165, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.48773483176615323, ""accel"": 0.32194163582864765, ""align"": -0.013215694676072035, ""mom_l"": 0.5265103306510581, ""mom_v"": 0.4861783491372664}",23035.736335137728,1.8440037945431795
swing,SBIN,2024-06-03T09:15:00+05:30,2024-06-03T11:59:00+05:30,830.35,899.2942712714794,795.8778643642604,899.2942712714794,290.0,PROFIT,19993.83866872901,2.000000000000003,0.8629371608031378,0.05,17.236067817869834,"{""structure"": 0.9999992952423463, ""value"": 0.9760093735951179, ""vol_anom"": 0.19833983740757563, ""mom_t"": -0.013215694676072035, ""vratio"": 0.10174459453298311, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.014534996952689297, ""accel"": -0.17456669924466472, ""align"": 0.6586001033796162, ""mom_l"": 0.6788958944705995, ""mom_v"": -0.0026565534552968006}",19512.235668729012,1.9518248588498206
short_term,ICICIBANK,2024-06-03T09:45:00+05:30,2024-06-03T12:45:00+05:30,1136.75,1164.5362190103144,1122.856890494843,1149.7224087457023,899.0,TRAILED,11662.195462386364,0.9337296838326193,0.8121029553564989,0.05,9.26207300343814,"{""structure"": 0.7000756598948074, ""value"": 0.2620827447399269, ""vol_anom"": 0.8511211357634252, ""mom_t"": 0.5215723050364601, ""vratio"": 0.024683356550342817, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.15948428129669343, ""accel"": -0.11407462536821796, ""align"": -0.21542492902920232, ""mom_l"": 0.3850121902070809, ""mom_v"": 0.5215723050364601}",9618.318962386364,0.770087412161466
short_term,RELIANCE,2024-06-03T10:15:00+05:30,2024-06-03T14:10:00+05:30,1477.25,1509.3529961842337,1461.1985019078832,1509.3529961842337,778.0,PROFIT,24976.13103133381,2.0,0.727717992660544,0.05,10.700998728077927,"{""structure"": 0.9811503640096958, ""value"": 0.6461261989590874, ""vol_anom"": -0.10797947836286385, ""mom_t"": 0.5374117506374025, ""vratio"": -0.19004371625013528, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.23424995890133277, ""accel"": 0.4806327174282495, ""align"": -0.02699305455638605, ""mom_l"": 0.15953345494426188, ""mom_v"": 0.0}",22677.530031333812,1.8159361834612184
short_term,HDFCBANK,2024-06-03T09:45:00+05:30,2024-06-04T09:15:00+05:30,782.5,800.2289402706048,773.6355298646976,773.6355298646976,1410.0,LOSS,-12498.90289077644,-1.0,0.9103041899208077,0.05,5.909646756868271,"{""structure"": 0.9997358679396439, ""value"": 0.939040489601725, ""vol_anom"": 0.8313482620163514, ""mom_t"": 0.5028792023453033, ""vratio"": -0.2710134649183101, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.31011635790386943, ""accel"": 0.19385261777213977, ""align"": 0.07205293447631737, ""mom_l"": 0.7664118860964987, ""mom_v"": 0.5028792023453033}",-14705.55289077644,-1.1765474953508437
short_term,SBIN,2024-06-03T12:16:00+05:30,2024-06-04T09:15:00+05:30,899.45,924.9381423464735,886.7059288267633,886.7059288267633,980.0,LOSS,-12489.189749772027,-1.0,0.9287269502758767,0.05,8.496047448824473,"{""structure"": 0.9994752001058363, ""value"": 0.9988844348148781, ""vol_anom"": 0.059146030304284496, ""mom_t"": 0.7089310225197241, ""vratio"": 0.1927317861525812, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.33810757386975077, ""accel"": 0.33990756487445895, ""align"": -0.013215694676072035, ""mom_l"": 0.6756879161578805, ""mom_v"": 0.05235934309789986}",-14252.111749772028,-1.1411558343912727
swing,RELIANCE,2024-06-04T09:15:00+05:30,2024-06-04T09:16:00+05:30,1510.3,1622.0108199096528,1454.4445900451735,1454.4445900451735,179.0,LOSS,-9998.11838191393,-1.0,0.76427636392255,0.05,27.927704977413224,"{""structure"": 0.5907986152562016, ""value"": -0.07505274854225454, ""vol_anom"": 0.6676971038832253, ""mom_t"": 0.41358788197288293, ""vratio"": -0.19760838647912496, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.2877026421198308, ""accel"": 0.3321363432619799, ""align"": 0.18369130293259064, ""mom_l"": 0.4688272831792118, ""mom_v"": 0.3406595011720775}",-10538.80578191393,-1.0540789155865644
short_term,ICICIBANK,2024-06-03T14:45:00+05:30,2024-06-04T09:27:00+05:30,1151.7,1177.8397567176469,1138.6301216411766,1138.6301216411766,956.0,LOSS,-12494.803711035187,-1.0,0.791000824436464,0.05,8.713252239215581,"{""structure"": 0.8887753942295676, ""value"": 0.7448025530208787, ""vol_anom"": -0.2359085111444566, ""mom_t"": 0.6609897135910724, ""vratio"": 0.2236561189924289, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.04502506980326095, ""accel"": -0.3268461948945869, ""align"": -0.21542492902920232, ""mom_l"": 0.3540744749268251, ""mom_v"": 0.0}",-14696.854111035187,-1.1762372943926434
short_term,HDFCBANK,2024-06-05T15:15:00+05:30,2024-06-10T09:37:00+05:30,776.0,802.8682030231773,762.5658984884113,781.0049154070095,930.0,TRAILED,4654.571328518879,0.3725530436622171,0.7584636851759193,0.05,8.956067674392424,"{""structure"": 0.5035820084467294, ""value"": 0.2798456280284768, ""vol_anom"": 0.7701909687546519, ""mom_t"": 0.4753112646354456, ""vratio"": -0.05590754786625302, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.1800594005735134, ""accel"": 0.7058413150872935, ""align"": -0.09088384439160617, ""mom_l"": 0.08603825141782535, ""mom_v"": 0.4753112646354456}",3211.2113285188793,0.2570261512488169
